Open,Close,High,Low,Volume,High/Open,Low/Open,Close/Open,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,MA5,MA14,MA16,SMA5,SMA14,SMA16,EMA5,EMA14,EMA16,BBANDS_U5,BBANDS_M5,BBANDS_L5,RSI14,RSI16
167.195,167.1935,167.1975,167.1875,51,1.000014952600257,0.9999551421992285,0.9999910284398458,167.193375,167.1925,167.1928333333333,167.19299999999998,167.18700000000007,167.1930714285714,167.1949688,167.18700000000007,167.1930714285714,167.1949688,167.18700000000007,167.1930714285714,167.1949688,167.20453852609253,167.18700000000007,167.1694614739076,41.04233682681532,40.969163
167.1935,167.205,167.206,167.19,49,1.0000747636720326,0.9999790661718309,1.0000687825782701,167.198625,167.19799999999998,167.20033333333333,167.2015,167.19110000000006,167.1923571428571,167.19503124999997,167.19110000000006,167.1923571428571,167.19503124999997,167.19110000000006,167.1923571428571,167.19503124999997,167.2133387032268,167.19110000000006,167.16886129677331,47.636981688520606,46.726742645116595
167.2045,167.189,167.205,167.188,54,1.0000029903501402,0.9999013184453768,0.9999072991456569,167.19662499999998,167.19650000000001,167.194,167.19275,167.19470000000007,167.19160714285707,167.19356249999996,167.19470000000007,167.19160714285707,167.19356249999996,167.19470000000007,167.19160714285707,167.19356249999996,167.20579233548958,167.19470000000007,167.18360766451056,40.79927560430571,40.81837405652434
167.1885,167.186,167.192,167.185,99,1.000020934454224,0.9999790655457762,0.9999850468184116,167.187875,167.1885,167.18766666666667,167.18725,167.1937000000001,167.19057142857136,167.19174999999996,167.1937000000001,167.19057142857136,167.19174999999996,167.1937000000001,167.19057142857136,167.19174999999996,167.20668614279103,167.1937000000001,167.18071385720916,39.65007418918075,39.811578101153664
167.1865,167.1875,167.193,167.184,65,1.0000388787372188,0.9999850466395314,1.0000059813441875,167.18775,167.1885,167.18816666666666,167.188,167.1922000000001,167.18953571428568,167.19099999999995,167.1922000000001,167.18953571428568,167.19099999999995,167.1922000000001,167.18953571428568,167.19099999999995,167.20594917762276,167.1922000000001,167.17845082237744,40.55172350160961,40.59306488179034
167.189,167.183,167.189,167.1825,39,1,0.9999611218441405,0.9999641124715143,167.18587499999998,167.18574999999998,167.18483333333333,167.184375,167.1901000000001,167.18803571428566,167.18990624999995,167.1901000000001,167.18803571428566,167.18990624999995,167.1901000000001,167.18803571428566,167.18990624999995,167.20551946453872,167.1901000000001,167.17468053546145,38.68446908945014,38.97375162640153
167.1835,167.2005,167.204,167.182,65,1.0001226197561361,0.9999910278227216,1.0001016846758202,167.1925,167.19299999999998,167.1955,167.19675,167.18920000000008,167.18796428571423,167.18981249999996,167.18920000000008,167.18796428571423,167.18981249999996,167.18920000000008,167.18796428571423,167.18981249999996,167.20117663923338,167.18920000000008,167.1772233607668,48.597158954563604,47.638318726636406
167.2005,167.198,167.203,167.1975,18,1.0000149521083967,0.9999820574699237,0.9999850478916033,167.19975,167.20024999999998,167.19949999999997,167.19912499999998,167.1910000000001,167.18867857142848,167.18943749999994,167.1910000000001,167.18867857142848,167.18943749999994,167.1910000000001,167.18867857142848,167.18943749999994,167.20487082834123,167.1910000000001,167.17712917165895,47.417791889927955,46.629480664584754
167.197,167.201,167.2035,167.197,47,1.0000388762956272,1,1.0000239238742321,167.199625,167.20024999999998,167.2005,167.200625,167.1940000000001,167.1901785714285,167.18940624999993,167.1940000000001,167.1901785714285,167.18940624999993,167.1940000000001,167.1901785714285,167.18940624999993,167.20871053560867,167.1940000000001,167.17928946439153,49.016730276151016,48.03799384
167.2015,167.202,167.205,167.2005,45,1.0000209328265597,0.9999940191924115,1.0000029904037941,167.20225,167.20275,167.20250000000001,167.20237500000002,167.19690000000008,167.1919285714285,167.19028124999994,167.19690000000008,167.1919285714285,167.19028124999994,167.19690000000008,167.1919285714285,167.19028124999994,167.21104778750882,167.19690000000008,167.18275221249135,49.56724512,48.52104890561818
167.2025,167.195,167.2095,167.1935,54,1.0000418654027303,0.9999461730536326,0.9999551442113606,167.200125,167.2015,167.19933333333333,167.19825,167.19930000000008,167.19267857142853,167.19121874999996,167.19930000000008,167.19267857142853,167.19121874999996,167.19930000000008,167.19267857142853,167.19121874999996,167.20434379872572,167.19930000000008,167.19425620127444,45.836182730333405,45.371687993149315
